"idx","in_time","out_time","location"
2353,"2017-02-01 10:08:21","2017-02-01 10:11:22","P1"
2354,"2017-02-01 10:11:30","2017-02-01 10:13:18","P2"
2355,"2017-02-01 10:23:01","2017-02-01 10:28:40","O1"
2356,"2017-02-01 10:29:02","2017-02-01 10:30:30","C5"
2357,"2017-02-01 10:31:12","2017-02-01 10:32:48","T1"
2358,"2017-02-01 10:32:50","2017-02-01 10:34:22","T1"
2359,"2017-02-01 10:36:21","2017-02-01 10:42:16","O2"
2360,"2017-02-01 10:46:18","2017-02-01 10:51:59","C1"
2361,"2017-02-01 10:56:46","2017-02-01 11:01:31","P1"
2362,"2017-02-01 11:04:07","2017-02-01 11:09:31","O2"
2363,"2017-02-01 11:09:50","2017-02-01 11:13:28","O1"
2364,"2017-02-01 11:14:31","2017-02-01 11:20:54","P2"
2365,"2017-02-01 11:21:21","2017-02-01 11:25:31","T1"
2366,"2017-02-01 11:25:32","2017-02-01 11:29:48","T1"
2367,"2017-02-01 11:29:50","2017-02-01 11:30:55","T1"
2368,"2017-02-01 11:32:10","2017-02-01 11:42:26","P2"
2369,"2017-02-01 11:50:04","2017-02-01 11:54:28","C7"
2370,"2017-02-01 11:55:01","2017-02-01 11:56:21","P2"
2371,"2017-02-01 11:56:29","2017-02-01 11:58:06","P2"
2372,"2017-02-01 11:59:17","2017-02-01 12:02:25","T1"
2373,"2017-02-01 12:05:25","2017-02-01 12:12:05","C8"
2374,"2017-02-01 12:12:23","2017-02-01 12:13:46","C7"
2375,"2017-02-01 12:14:16","2017-02-01 12:19:25","P2"
2376,"2017-02-01 12:19:48","2017-02-01 12:30:51","T1"
2377,"2017-02-01 12:31:28","2017-02-01 12:31:59","C4"
2378,"2017-02-01 12:32:34","2017-02-01 12:36:24","T1"
2379,"2017-02-01 12:37:06","2017-02-01 12:59:44","C4"
2380,"2017-02-01 13:00:03","2017-02-01 13:00:31","C7"
2381,"2017-02-01 13:00:48","2017-02-01 13:01:06","O2"
2382,"2017-02-02 10:05:27","2017-02-02 10:09:08","C2"
2383,"2017-02-02 10:09:31","2017-02-02 10:11:17","P1"
2384,"2017-02-02 10:15:08","2017-02-02 10:23:31","C4"
2385,"2017-02-02 10:26:09","2017-02-02 10:28:42","P1"
2386,"2017-02-02 10:29:16","2017-02-02 10:33:11","C4"
2387,"2017-02-02 10:33:24","2017-02-02 10:36:16","C2"
2388,"2017-02-02 10:36:28","2017-02-02 10:41:11","C1"
2389,"2017-02-02 10:41:26","2017-02-02 10:42:31","C4"
2390,"2017-02-02 10:42:45","2017-02-02 10:45:57","C1"
2391,"2017-02-02 10:49:31","2017-02-02 10:52:46","C1"
2392,"2017-02-02 10:53:01","2017-02-02 11:06:15","C1"
2393,"2017-02-02 11:10:01","2017-02-02 11:11:24","O2"
2394,"2017-02-02 11:11:26","2017-02-02 11:12:36","O2"
