"idx","in_time","out_time","location","fd_reg_date"
5016,"2017-04-28 16:25:49","2017-04-28 16:26:51","C3","2017-04-28 19:36:16"
5015,"2017-04-28 16:25:31","2017-04-28 16:25:49","C3","2017-04-28 19:36:16"
5014,"2017-04-28 16:17:09","2017-04-28 16:18:09","C4","2017-04-28 19:36:16"
5013,"2017-04-28 16:16:50","2017-04-28 16:17:09","C4","2017-04-28 19:36:16"
5012,"2017-04-28 16:08:32","2017-04-28 16:16:45","C5","2017-04-28 19:36:16"
5011,"2017-04-28 16:08:04","2017-04-28 16:08:32","C5","2017-04-28 19:36:16"
5010,"2017-04-28 16:04:29","2017-04-28 16:06:15","C8","2017-04-28 19:36:16"
5009,"2017-04-28 16:04:09","2017-04-28 16:04:29","C8","2017-04-28 19:36:16"
5008,"2017-04-28 15:59:35","2017-04-28 16:04:05","C7","2017-04-28 19:36:16"
5007,"2017-04-28 15:59:04","2017-04-28 15:59:35","C7","2017-04-28 19:36:16"
5006,"2017-04-28 15:56:02","2017-04-28 15:58:59","C8","2017-04-28 19:36:16"
5005,"2017-04-28 15:55:43","2017-04-28 15:56:02","C8","2017-04-28 19:36:16"
5004,"2017-04-28 15:46:57","2017-04-28 15:55:40","C7","2017-04-28 19:36:16"
5003,"2017-04-28 15:46:46","2017-04-28 15:46:57","C7","2017-04-28 19:36:16"
5002,"2017-04-28 15:43:47","2017-04-28 15:46:33","C5","2017-04-28 19:36:16"
5001,"2017-04-28 15:43:20","2017-04-28 15:43:47","C5","2017-04-28 19:36:16"
5000,"2017-04-28 15:40:05","2017-04-28 15:40:21","C3","2017-04-28 19:36:16"
4999,"2017-04-28 15:39:58","2017-04-28 15:40:05","C3","2017-04-28 19:36:16"
4998,"2017-04-28 15:36:38","2017-04-28 15:38:37","C5","2017-04-28 19:36:16"
4997,"2017-04-28 15:36:07","2017-04-28 15:36:38","C5","2017-04-28 19:36:16"
4996,"2017-04-28 15:15:50","2017-04-28 15:17:56","C6","2017-04-28 19:36:16"
4995,"2017-04-28 15:15:17","2017-04-28 15:15:50","C6","2017-04-28 19:36:16"
4994,"2017-04-28 13:11:36","2017-04-28 13:12:26","O1","2017-04-28 19:36:16"
4993,"2017-04-28 12:56:50","2017-04-28 13:04:33","C1","2017-04-28 19:36:16"
4992,"2017-04-28 12:56:03","2017-04-28 12:56:50","C1","2017-04-28 19:36:16"
4991,"2017-04-28 12:31:50","2017-04-28 12:55:14","O1","2017-04-28 19:36:16"
4990,"2017-04-28 12:29:58","2017-04-28 12:31:50","O1","2017-04-28 19:36:16"
4989,"2017-04-28 12:27:38","2017-04-28 12:27:57","C3","2017-04-28 19:36:16"
4988,"2017-04-28 12:27:10","2017-04-28 12:27:25","C6","2017-04-28 19:36:16"
4987,"2017-04-28 12:27:09","2017-04-28 12:27:10","C6","2017-04-28 19:36:16"
4986,"2017-04-28 12:19:27","2017-04-28 12:26:36","C3","2017-04-28 19:36:16"
4985,"2017-04-28 12:18:14","2017-04-28 12:19:27","C3","2017-04-28 19:36:16"
4984,"2017-04-28 12:09:02","2017-04-28 12:17:27","C3","2017-04-28 19:36:16"
4983,"2017-04-28 12:08:19","2017-04-28 12:09:02","C3","2017-04-28 19:36:16"
4982,"2017-04-28 12:05:56","2017-04-28 12:08:13","C2","2017-04-28 19:36:16"
4981,"2017-04-28 12:04:49","2017-04-28 12:05:56","C2","2017-04-28 19:36:16"
4980,"2017-04-28 11:57:33","2017-04-28 11:58:33","C3","2017-04-28 19:36:16"
4979,"2017-04-28 11:56:56","2017-04-28 11:57:33","C3","2017-04-28 19:36:16"
4978,"2017-04-28 11:44:58","2017-04-28 11:47:52","C3","2017-04-28 19:36:16"
4977,"2017-04-28 11:44:44","2017-04-28 11:44:58","C3","2017-04-28 19:36:16"
4976,"2017-04-28 10:52:10","2017-04-28 10:54:19","C3","2017-04-28 19:36:16"
4975,"2017-04-28 10:51:46","2017-04-28 10:52:10","C3","2017-04-28 19:36:16"
4974,"2017-04-27 16:15:34","2017-04-27 16:20:54","P2","2017-04-28 10:28:47"
4973,"2017-04-27 16:15:21","2017-04-27 16:15:34","P2","2017-04-28 10:28:47"
4972,"2017-04-27 16:13:40","2017-04-27 16:15:19","P1","2017-04-28 10:28:47"
4971,"2017-04-27 16:12:06","2017-04-27 16:13:40","P1","2017-04-28 10:28:47"
4970,"2017-04-27 16:02:45","2017-04-27 16:11:47","C3","2017-04-28 10:28:47"
4969,"2017-04-27 16:02:37","2017-04-27 16:02:45","C3","2017-04-28 10:28:47"
4968,"2017-04-27 15:56:08","2017-04-27 16:02:30","C5","2017-04-28 10:28:47"
4967,"2017-04-27 15:54:27","2017-04-27 15:56:08","C5","2017-04-28 10:28:47"
4966,"2017-04-27 15:50:19","2017-04-27 15:53:47","C2","2017-04-28 10:28:47"
4965,"2017-04-27 15:50:01","2017-04-27 15:50:19","C2","2017-04-28 10:28:47"
4964,"2017-04-27 15:38:00","2017-04-27 15:41:18","C4","2017-04-28 10:28:47"
4963,"2017-04-27 15:37:50","2017-04-27 15:38:00","C4","2017-04-28 10:28:47"
4962,"2017-04-27 15:31:24","2017-04-27 15:32:17","C4","2017-04-28 10:28:47"
4961,"2017-04-27 15:30:36","2017-04-27 15:31:24","C4","2017-04-28 10:28:47"
4960,"2017-04-27 14:59:21","2017-04-27 15:00:47","C1","2017-04-28 10:28:47"
4959,"2017-04-27 14:59:05","2017-04-27 14:59:21","C1","2017-04-28 10:28:47"
4958,"2017-04-27 14:56:50","2017-04-27 14:58:52","C8","2017-04-28 10:28:47"
4957,"2017-04-27 14:56:38","2017-04-27 14:56:50","C8","2017-04-28 10:28:47"
4956,"2017-04-27 14:54:30","2017-04-27 14:56:02","C7","2017-04-28 10:28:47"
4955,"2017-04-27 14:54:07","2017-04-27 14:54:30","C7","2017-04-28 10:28:47"
4954,"2017-04-27 12:35:39","2017-04-27 12:52:40","C8","2017-04-28 10:28:47"
4953,"2017-04-27 12:30:45","2017-04-27 12:35:39","C8","2017-04-28 10:28:47"
4952,"2017-04-27 12:21:10","2017-04-27 12:30:33","O2","2017-04-28 10:28:47"
4951,"2017-04-27 12:20:08","2017-04-27 12:21:10","O2","2017-04-28 10:28:47"
4950,"2017-04-27 12:13:03","2017-04-27 12:13:49","5","2017-04-28 10:28:47"
4949,"2017-04-27 12:13:00","2017-04-27 12:13:03","C5","2017-04-28 10:28:47"
4948,"2017-04-27 12:08:48","2017-04-27 12:10:12","C5","2017-04-28 10:28:47"
4947,"2017-04-27 12:08:16","2017-04-27 12:08:48","C5","2017-04-28 10:28:47"
4946,"2017-04-27 12:02:41","2017-04-27 12:03:50","C6","2017-04-28 10:28:47"
4945,"2017-04-27 12:01:41","2017-04-27 12:02:41","C6","2017-04-28 10:28:47"
4944,"2017-04-27 11:58:22","2017-04-27 12:01:27","C4","2017-04-28 10:28:47"
4943,"2017-04-27 11:58:10","2017-04-27 11:58:22","C4","2017-04-28 10:28:47"
4942,"2017-04-27 11:45:23","2017-04-27 11:51:56","C3","2017-04-28 10:28:47"
4941,"2017-04-27 11:45:15","2017-04-27 11:45:23","C3","2017-04-28 10:28:47"
4940,"2017-04-27 11:44:14","2017-04-27 11:44:54","P1","2017-04-28 10:28:47"
4939,"2017-04-27 11:44:01","2017-04-27 11:44:14","P1","2017-04-28 10:28:47"
4938,"2017-04-27 11:38:40","2017-04-27 11:43:42","C3","2017-04-28 10:28:47"
4937,"2017-04-27 11:38:29","2017-04-27 11:38:40","C3","2017-04-28 10:28:47"
4936,"2017-04-27 11:31:41","2017-04-27 11:33:44","O1","2017-04-28 10:28:47"
4935,"2017-04-27 11:30:15","2017-04-27 11:31:41","O1","2017-04-28 10:28:47"
4934,"2017-04-27 11:11:32","2017-04-27 11:13:12","P1","2017-04-28 10:28:47"
4933,"2017-04-27 11:11:14","2017-04-27 11:11:32","P1","2017-04-28 10:28:47"
4932,"2017-04-27 10:51:43","2017-04-27 10:52:00","C5","2017-04-28 10:28:47"
4931,"2017-04-27 10:51:24","2017-04-27 10:51:43","C5","2017-04-28 10:28:47"
4930,"2017-04-27 10:35:33","2017-04-27 10:49:50","C2","2017-04-28 10:28:47"
4929,"2017-04-27 10:35:09","2017-04-27 10:35:33","C2","2017-04-28 10:28:47"
4928,"2017-04-27 10:27:37","2017-04-27 10:29:38","C2","2017-04-28 10:28:47"
4927,"2017-04-27 10:27:11","2017-04-27 10:27:37","C2","2017-04-28 10:28:47"
4926,"2017-04-27 10:22:42","2017-04-27 10:27:06","C3","2017-04-28 10:28:47"
4925,"2017-04-27 10:22:16","2017-04-27 10:22:42","C3","2017-04-28 10:28:47"
